date,symbol,open,close,low,high,volume,,
25/8/2011,BAC,8.29,7.65,7.38,8.8,859643400,,
8/8/2011,BAC,7.4,6.51,6.31,7.7,682052900,,
19/3/2012,BAC,9.78,9.53,9.51,10.1,669479900,,
20/10/2010,BAC,11.6,11.75,11.17,11.88,655116600,,
24/2/2014,VZ,47.02,46.23,46.23,47.200001,616620500,,
24/8/2011,BAC,6.36,6.99,6.32,7.05,602753000,,
15/10/2010,BAC,12.66,11.98,11.74,12.68,600410400,,
16/4/2010,BAC,19.469999,18.41,18.049999,19.48,589061800,,
16/3/2012,BAC,9.41,9.8,9.33,9.8,582294100,,
19/10/2010,BAC,12.34,11.8,11.71,12.45,574229600,,
23/8/2011,BAC,6.37,6.3,6.01,6.44,563788800,,
10/2/2011,CSCO,19.65,18.92,18.790001,19.700001,560040200,,
11/11/2010,CSCO,20.459999,20.52,20.25,20.959999,553080300,,
21/1/2010,BAC,16.459999,15.47,15.2,16.66,551285500,,
5/1/2012,BAC,5.75,6.31,5.71,6.35,547780000,,
